Denomiancion ERE,provincia_entidad,poblacion_entidad,Denominacion BDNS,provincia_subvencionada,localidad_subvencionada
HERMANITAS DE LOS ANCIANOS DESAMPARADOS AVILA,ãvila,avila,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HIJAS DEL BUEN PASTOR Y DE MARIA INMACULADA,ãvila,avila,Hijas de María Inmaculada,castellón,vila-real
OBRA DE LA IGLESIA,ãvila,navalperal de pinares,Obra de la Iglesia,madrid,madrid
UNIVERSIDAD CATOLICA SANTA TERESA DE JESUS DE AVILA,ãvila,avila,Universidad Católica Santa Teresa de Jesús - Obispado,ávila,ávila
	CASA COMUNIDAD SIERVAS DE SAN JOSE	,badajoz,merida,Siervas de San José,madrid,madrid
	CASA CRISTO CRUCIFICADO	,badajoz,villalba de los barros,Cofradía Cristo Crucificado,albacete,hellín
	CASA CRISTO CRUCIFICADO	,badajoz,valverde de leganes,Cofradía Cristo Crucificado,albacete,hellín
	CASA CRISTO CRUCIFICADO	,badajoz,hornachos,Cofradía Cristo Crucificado,albacete,hellín
	CASA JESUS NIÃO	,badajoz,villanueva de la serena,Cofrradía Jesús Cautivo,badajoz,almendralejo
	CASA NUESTRA SEÃORA DEL AMPARO	,badajoz,burguillos del cerro,A. N. Sra. del Amparo,tenerife,icod de los vinos
	COLEGIO SALESIANO MARIA AUXILIADORA	,badajoz,merida,Colegio Diocesano Maria Auxiliadora,lugo,lugo
	COMUNIDAD BUEN PASTOR	,badajoz,badajoz,Caridad del Buen Pastor,badajoz,badajoz
"	COMUNIDAD DE HERMANAS HOSPITALARIAS DE JESUS NAZARENO, FRANCISCANAS	",badajoz,merida,Hermanas Hospitalarias - Betania de Jesús Nazareno,a coruña,a coruña
	COMUNIDAD DEL COLEGIO SAGRADO CORAZON	,badajoz,don benito,Corazonistas - Colegio Sagrado Corazón,barcelona,barcelona
	COMUNIDAD DEL HOSPITAL DE SAN ANTONIO	,badajoz,don benito,Fundación Hospital de San Antonio,badajoz,don benito
	COMUNIDAD EN COLEGIO NUESTRA SEÃORA DEL CARMEN	,badajoz,puebla de la calzada,Maristas - Colegio N. Sra. del Carmen,badajoz,badajoz
	COMUNIDAD NTRA. SRA. DE LA GRANADA	,badajoz,llerena,Parroquia N. Sra. de la Granada,sevilla,guillena
	COMUNIDAD NTRA. SRA. DE LAS CRUCES	,badajoz,don benito,Cofradía N. Sra. de las Cruces,badajoz,don benito
	CONVENTO DE LA PURISIMA CONCEPCION	,badajoz,siruela,Hermandad de la Purísima Concepción,córdoba,córdoba
	HOGAR DE ANCIANOS JESUS NAZARENO	,badajoz,cabeza del buey,Residencia Jesús Nazareno,córdoba,montoro
	MONASTERIO DE LA ENCARNACION	,badajoz,campanario,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE LA INMACULADA CONCEPCION	,badajoz,talavera la real,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	MONASTERIO DE LA INMACULADA CONCEPCION	,badajoz,valencia del ventoso,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	MONASTERIO DE LA PURISIMA CONCEPCION	,badajoz,cabeza del buey,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE LA PURISIMA CONCEPCION	,badajoz,fuente del maestre,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE LA PURISIMA CONCEPCION	,badajoz,villanueva de la serena,Hermandad de la Purísima Concepción,córdoba,córdoba
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,badajoz,zafra,Religiosas de María Inmaculada - Servicio Doméstico,melilla,melilla
ASOCIACION LOCAL DE MARIA AUXILIADORA DE BADAJOZ,badajoz,badajoz,Asociación María Auxiliadora,málaga,antequera
CASA DE ESPIRITUALIDAD,badajoz,villagonzalo,Pallottines - Casa de Espiritualidad,bizkaia,carranza
COFRADIA DE NUESTRO PADRE JESUS NAZARENO DE JEREZ DE LOS CABALLEROS,badajoz,jerez de los caballeros,Archicofradía de Nuestro Padre Jesús Nazareno,córdoba,lucena
COFRADIA DEL SANTISIMO CRISTO DEL SEPULCRO DE SIRUELA,badajoz,siruela,Cofradía del Santísimo Cristo,zaragoza,malon
COMUNIDAD NUESTRA SEÃORA DEL CARMEN,badajoz,villafranca de los barros,A. Nuestra Señora del Carmen,málaga,málaga
COMUNIDAD VIRGEN DE LA CABEZA,badajoz,fuente del maestre,Hermandad Virgen de la Cabeza,málaga,málaga
HERMANDAD DE SAN MARCOS,badajoz,almendralejo,Hermandad de San Marcos,badajoz,almendralejo
HERMANDAD DEL SANTISIMO CRISTO DE LAS MISERICORDIAS,badajoz,la parra,Hermandad Santísimo Cristo Ecce Homo,cuenca,cuenca
HERMANDAD SANTA MARIA MAGDALENA,badajoz,solana de los barros,Hermandad Santa Maria Magdalena,murcia,cieza
HERMANITAS DE LOS ANCIANOS DESAMPARADOS AZUAGA,badajoz,azuaga,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS BADAJOZ,badajoz,badajoz,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
HERMANITAS DE LOS ANCIANOS DESAMPARADOS MERIDA,badajoz,merida,Hermanitas de los Ancianos Desamparados,jaén,villanueva del a.
"HIJAS DE CRISTO REY, TALARRUBIAS",badajoz,talarrubias,Hijas de Cristo Rey - Colegio,badajoz,talarrubias
HOSPITALIDAD NUESTRA SEÃORA DE LOURDES,badajoz,merida,Hospitalidad N. Sra. de Lourdes,murcia,alhama de m.
MONASTERIO DE SANTA MARIA DEL VALLE.,badajoz,zafra,Monasterio Santa María la Real,la rioja,nájera
	CASA DE ESPIRITUALIDAD	,baleares,palma (mallorca),Pallottines - Casa de Espiritualidad,bizkaia,carranza
	CASA DE LA INMACULADA	,baleares,palma de mallorca,Casa del Amparo Inmaculada,zaragoza,alagón
	CASA DE LA INMACULADA	,baleares,son ferriol-palma de mallorca,Casa del Amparo Inmaculada,zaragoza,alagón
	CASA DE LA PURISIMA CONCEPCION	,baleares,pina mallorca,Hermandad de la Purísima Concepción,córdoba,córdoba
	CASA DE LA SANTISIMA TRINIDAD	,baleares,palma de mallorca,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CASA DE SAN ANTONIO ABAD	,baleares,sa pobla  mallorca,Cofradía de San Antonio Abad,albacete,hellín
	CASA DE SANTA MARIA MAGDALENA	,baleares,palma de mallorca,Cofradía Santa María Magdalena,castellón,vila-real
	CASA DEL CORAZON DE MARIA	,baleares,ciutadella   menorca,Hijas del Corazón de María - Colegio,palencia,palencia
	CASA DEL SAGRADO CORAZON DE JESUS	,baleares,palma de mallorca,Esclavas del Sagrado Corazón de Jesús,madrid,madrid
	CASA HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL	,baleares,manacor (portocristo) mallorca,Hermanas de la Caridad de San Vicente de Paul,baleares,palma
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,santa margarita,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,algaida,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,puigpunyent,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,caâ´n picafort santa margarita,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,puerto de alcudia,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,puerto de andraitx,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,pla de na tesa marratxi,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA NUESTRA SEÃORA DE LA CONSOLACION	,baleares,consell,Agustinos - Colegio N. Sra. de la Consolación,baleares,ibiza
	CASA SAN ANTONIO DE PADUA	,baleares,son servera,Cofradía San Antonio de Padua,ciudad real,bolaños de c.
	COLEGIO PUREZA DE MARIA	,baleares,inca,Pureza de María - Colegio,baleares,palma
	COLEGIO PUREZA DE MARIA	,baleares,manacor,Pureza de María - Colegio,baleares,palma
	COMUNIDAD EN COLEGIO NUESTRA SEÃORA DEL CARMEN	,baleares,palma de mallorca,Carmelitas - Colegio N. Sra. del Carmen,alicante,orihuela
	COMUNIDAD NUESTRA SEÃORA DE LAS VIRTUDES	,baleares,ciudadela (menorca),Parroquia N. Sra. de las Virtudes,sevilla,cazalla de la s.
"	COMUNIDAD""NUESTRA SEÃORA DE LAS NIEVES""	",baleares,san francesc de formentera,Hermandad N. Sra. de las Nieves,sevilla,la rinconada
"	CONGREGACION ""HERMANAS DE LA CARIDAD DE SAN VICENTE DE PAUL""	",baleares,palma de mallorca,Hermanas de la Caridad de San Vicente de Paul,baleares,palma
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,baleares,soller-mallorca,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,baleares,porreras (mallorca),Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,baleares,palma de mallorca,Oratorio San Felipe Neri,barcelona,barcelona
	CONVENTO-PARROQUIA DE SAN MIGUEL	,baleares,campanet - mallorca,Parroquia de San Miguel,valencia,catarroja
	FRANCISCANAS MONASTERIO DE LA INMACULADA CONCEPCION	,baleares,mahon-menorca,Franciscanas - Colegio La inmaculada,valencia,torrent
	MONASTERIO  DE LA ENCARNACION	,baleares,benisalem,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE LA INMACULADA CONCEPCION	,baleares,sineu,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	MONASTERIO DE LA PURISIMA CONCEPCION	,baleares,palma de mallorca,Hermandad de la Purísima Concepción,córdoba,córdoba
	MONASTERIO DE SAN BARTOLOME	,baleares,inca,Parroquia de San Bartolomé,castellón,nules
	MONASTERIO DE SAN CRISTOBAL	,baleares,ibiza,Cofradía de San Cristóbal,córdoba,pozoblanco
	MONASTERIO DE SAN PEDRO.	,baleares,calvia,Cofradía de San Pedro,navarra,peralta
	MONASTERIO DE SANTA CLARA	,baleares,palma de mallorca,Clarisas - Monasterio de Santa Clara,murcia,caravaca
	MONASTERIO DE SANTA MARIA MAGDALENA	,baleares,palma de mallorca,Monasterio Santa María la Real,la rioja,nájera
	REAL MONASTERIO DE SANTA CLARA	,baleares,ciutadella-menorca,Clarisas - Monasterio de Santa Clara,murcia,caravaca
COFRADIA DE LA VERGE DOLOROSA,baleares,alarã,Cofradía de la Dolorosa,valencia,tous
COFRADIA DEL SANTISIMO CRISTO DEL CEMENTERIO,baleares,ibiza,Cofradía del Santísimo Cristo,zaragoza,malon
COFRADIA DEL SANTO CRISTO YACENTE,baleares,ibiza,Cofradía del Cristo Yacente,guadalajara,guadalajara
COLEGIO SALESIANO (`SAN FRANCISCO DE SALES`),baleares,ciudadela,Salesianos - Sociedad San Francisco de Sales,madrid,madrid
CONFRARIA DE JESUS DELS NATZARENS,baleares,manacor,Cofradía de Jesús el Rico,málaga,málaga
	CARTUJA DE SANTA MARIA DE MONTALEGRE	,barcelona,tiana,Parroquia Santa María Madiona,barcelona,barcelona
	CASA COLEGIO AMOR DE DIOS	,barcelona,san adrian de besos,Mercedarias - Colegio Madre de Dios,murcia,lorca
	CASA COLEGIO DEL NIÃO JESUS	,barcelona,barcelona,Colegio Niño Jesús,valencia,valencia
	CASA COLEGIO EL AVE MARIA	,barcelona,manresa,Colegio Ave María - AMPA,granada,albolote
	CASA COLEGIO NUESTRA SEÃORA DE LOURDES	,barcelona,barcelona,La Salle - Colegio N. Sra. de Lourdes,valladolid,valladolid
	CASA COLEGIO SAGRADO CORAZON	,barcelona,mataro,Agustinas - Colegio Sagrado Corazón,barcelona,terrassa
	CASA COLEGIO VIRGEN DE LA SALUD	,barcelona,san feliu de llobregat,Maristas - Colegio N. Sra. de la Salud,valencia,algemesi
	CASA DE BARCELONA	,barcelona,barcelona,Comunidad Judía de Barcelona,barcelona,barcelona
	CASA DE JESUS-MARIA	,barcelona,barcelona,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,barcelona,barcelona,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,barcelona,badalona,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,barcelona,barcelona,Casa de Jesús-María,cádiz,jerez
	CASA DE JESUS-MARIA	,barcelona,barcelona,Casa de Jesús-María,cádiz,jerez
"	CASA DE JESUS-MARIA, BARCELONA	",barcelona,barcelona,Religiosas de Jesús-María - APA Colegio,barcelona,barcelona
	CASA DE LA INMACULADA	,barcelona,barcelona,Casa del Amparo Inmaculada,zaragoza,alagón
	CASA DE LA SAGRADA FAMILIA	,barcelona,barcelona,Casa de la Sagrada Familia,barcelona,vallvidrera
	CASA DE LA SAGRADA FAMILIA	,barcelona,barcelona,Casa de la Sagrada Familia,barcelona,vallvidrera
	CASA DE PEDRALBES `RESIDENCIA DE LA INMACULADA`	,barcelona,barcelona,Casa Asilo Parroquial de la Inmaculada,barcelona,mollet del vallés
	CASA FAMILIAR SAN FRANCISCO DE ASIS	,barcelona,sant andreu de llavaneres,Clavaria San Francisco de Asís,valencia,mislata
	CASA NUESTRA SEÃORA DE MONTSERRAT	,barcelona,caldas de montbuy,Col.legi N. Sra. de Montserrat,barcelona,parets
	CASA NUESTRA SEÃORA DE MONTSERRAT	,barcelona,caldas de montbuy,Col.legi N. Sra. de Montserrat,barcelona,parets
	CASA NUESTRA SEÃORA DE MONTSERRAT	,barcelona,olesa de montserrat,Col.legi N. Sra. de Montserrat,barcelona,parets
	CASA PROVIDENCIA DEL CORAZON DE JESUS (COLEGIO)	,barcelona,barcelona,Celadoras de Reinado del Corazón de Jesús - Colegio,valladolid,valladolid
	CASA SAN FRANCISCO DE ASIS	,barcelona,barcelona,Clavaria San Francisco de Asís,valencia,mislata
	CASA SAN IGNACIO DE LOYOLA	,barcelona,barcelona,Parroquia San Ignacio de Loyola,madrid,madrid
	CASA SANTA ISABEL DE HUNGRIA	,barcelona,san cugat del valles,Parroquia Santa Isabel de Hungría,las palmas,las palmas
	CASA SANTA MARIA MAGDALENA	,barcelona,barcelona,Cofradía Santa María Magdalena,castellón,vila-real
	CENTRO DE BARCELONA	,barcelona,barcelona,Comunidad Judía de Barcelona,barcelona,barcelona
	CENTRO DE BARCELONA	,barcelona,barcelona,Comunidad Judía de Barcelona,barcelona,barcelona
	COLEGIO DE LA INMACULADA	,barcelona,sant vicente dels horts,Colegio Diocesano Inmaculada,valencia,xátiva
	COLEGIO MADRE DEL DIVINO PASTOR	,barcelona,barcelona,Capuchinas - Colegio Madre del Divino Pastor,murcia,cieza
	COLEGIO PUREZA DE MARIA	,barcelona,san cugat del valles,Colegio Ave María - AMPA,granada,albolote
	COLEGIO SAGRADA FAMILIA	,barcelona,cornella de llobregat,Colegio Sagrada Familia,alicante,elda
	COMUNDAD DE SANTA EULALIA	,barcelona,barcelona,Fundación Santa Eulalia,barcelona,hospitalet
"	COMUNIDAD ""JOANA MARIA""	",barcelona,barcelona,Coro Parroquial Santa María,barcelona,igualada
	COMUNIDAD AUXILIARES PARROQUIALES DE CRISTO SACERDOTE	,barcelona,barcelona,Auxiliares Parroquiales Cristo Sacerdote,valencia,picanya
	COMUNIDAD DE RELIGIOSAS DEL SAGRADO CORAZON	,barcelona,barcelona,RSCJ - Religiosas del Sagrado Corazón,madrid,madrid
	COMUNIDAD DEL COLEGIO INMACULADA CONCEPCION	,barcelona,gava,Agustinas - Col.legi Inmaculada Concepció,barcelona,gavá
	COMUNIDAD DEL COLEGIO SAGRADA FAMILIA	,barcelona,masnou,Colegio Sagrada Familia,alicante,elda
	COMUNIDAD EN COLEGIO NUESTRA SEÃORA DE LOS ANGELES	,barcelona,barcelona,Comunidad Apostólica Reina de los Ángeles,ciudad real,daimiel
	COMUNIDAD EN TEMPLO DEL SAGRADO CORAZON	,barcelona,barcelona,Corazonistas - Colegio Sagrado Corazón,barcelona,barcelona
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,barcelona,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,barcelona,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,barcelona,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,cerdanyola del valles,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,sant vicenã dels horts,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,terrassa,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD HIJAS DE MARIA AUXILIADORA	,barcelona,sabadell,Hijas de María Auxiliadora,cádiz,cádiz
	COMUNIDAD LOS ALCAZARES DE SANTA MARIA	,barcelona,valldoreix,Museo Archivo de Santa María,barcelona,mataró
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,mataro,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,barcelona,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,barcelona,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,barcelona,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,barcelona,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,el prat de llobregat,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD MISIONERAS DE LA INMACULADA CONCEPCION	,barcelona,vilanova i la geltru,Misioneras de la Inmaculada Concepción - Residencia,córdoba,el viso
	COMUNIDAD SAGRADO CORAZON	,barcelona,barcelona,Caridad Sagrado Corazón,madrid,madrid
	COMUNIDAD SAGRAT COR DE JESUS	,barcelona,vic,Parroquia Sacrat Cor de Jesús,barcelona,barcelona
	COMUNIDAD SIERVAS DE SAN JOSE	,barcelona,hospitalet de llobregat,Siervas de San José,madrid,madrid
	COMUNIDAD VIRGEN DEL CARMEN	,barcelona,barcelona,Hermandad Virgen del Carmen,ciudad real,daimiel
	COMUNITAT ESCOLAPIA DE SANTA EULALIA	,barcelona,barcelona,Fundación Santa Eulalia,barcelona,hospitalet
	COMUNITAT MARIA REINA	,barcelona,barcelona,Parroquia María Reina,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,barcelona,barcelona,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,barcelona,vic,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION DEL ORATORIO DE SAN FELIPE NERI	,barcelona,barcelona,Oratorio San Felipe Neri,barcelona,barcelona
	CONGREGACION HIJOS DE LA SAGRADA FAMILIA JESUS MARIA Y JOSE (HIJOS DE LA SAGRADA FAMILIA)-VICEPROVINCIA ESPAÃOLA	,barcelona,barcelona,Hijos de la Sagrada Familia - Colegio Jesús María y José,barcelona,barcelona
	CONGREGACION SIERVAS DE LA PASION	,barcelona,barcelona,Cofradía de la Pasión,guadalajara,guadalajara
	CONVENTO DE LA SANTISIMA TRINIDAD	,barcelona,barcelona,Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	CONVENTO DE SAN FRANCISCO	,barcelona,berga,Convento de San Francisco,a coruña,santiago
	CONVENTO DE SANTA TERESA DE JESUS	,barcelona,tarrasa,Compañía Santa Teresa de Jesús,tarragona,tortosa
	ESCOLA PIA BALMES	,barcelona,barcelona,Escolapios - Escola Pía Balmes,barcelona,barcelona
	ESCOLA PIA DE CATALUNYA	,barcelona,barcelona,Consell Evangelic de Catalunya,barcelona,barcelona
	ESCOLA PIA LUZ CASANOVA	,barcelona,barcelona,Escolapios - Escola Pía Luz Casanova,barcelona,barcelona
	FRANCISCANOS-CONVENTO DE SAN ANTONIO DE PADUA	,barcelona,barcelona,Franciscanos - Convento San Antonio de Padua,cáceres,cáceres
"	INSTITUTO ""FRANCISCANAS MISIONERAS DE LA INMACULADA CONCEPCION""	",barcelona,barcelona,Agustinas - Col.legi Inmaculada Concepció,barcelona,gavá
	MISIONERAS SIERVAS DE LA SANTISIMA TRINIDAD	,barcelona,subirats (el casots),Hermandad de la Santísima Trinidad,tarragona,l'espluga de f.
	MONASTERIO  DE LA ENCARNACION	,barcelona,barcelona,Dominicas - Monasterio de la Encarnación,cáceres,plasencia
	MONASTERIO DE JESUS MARIA	,barcelona,barcelona,Casa de Jesús-María,cádiz,jerez
	MONASTERIO DE JESUS MARIA JOSE Y TERESA	,barcelona,vic,Misioneras de Jesús María y José - Escuela Infantil,barcelona,sabadell
	MONASTERIO DE LA ASUNCION DE MARIA SANTISIMA	,barcelona,mataro,Siervos de María - Fraternidad de María Santísima,sevilla,carmona
	MONASTERIO DE LA INMACULADA	,barcelona,argentona -dosrius,Concepcionistas - Monasterio de la Inmaculada,cuenca,cuenca
	MONASTERIO DE LA INMACULADA CONCEPCION	,barcelona,barcelona,Agustinas - Col.legi Inmaculada Concepció,barcelona,gavá
	MONASTERIO DE LA INMACULADA CONCEPCION	,barcelona,mataro,Agustinas - Col.legi Inmaculada Concepció,barcelona,gavá
	MONASTERIO DE LA SAGRADA FAMILIA	,barcelona,tiana,Casa de la Sagrada Familia,barcelona,vallvidrera
	MONASTERIO DE LA VISITACION DE SANTA MARIA	,barcelona,barcelona,Misioneras Cruzadas de la Iglesia - Escola Santa María,barcelona,barcelona
	MONASTERIO DE MONTSERRAT	,barcelona,barcelona,Col.legi N. Sra. de Montserrat,barcelona,parets
	MONASTERIO DE SANT BENET	,barcelona,barcelona,Benedictinos - Monasterio de Sant  Benet,barcelona,monargell
	MONASTERIO DE SANTA MARIA DE JERUSALEN	,barcelona,barcelona,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA MARIA DE MONTE SION	,barcelona,esplugas de llobregat,Museo Archivo de Santa María,barcelona,mataró
	MONASTERIO DE SANTA MARIA DE PEDRALBES	,barcelona,barcelona,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA MARIA MAGDALENA	,barcelona,barcelona,Monasterio Santa María la Real,la rioja,nájera
	MONASTERIO DE SANTA TERESA DE JESUS	,barcelona,sabadell,Compañía Santa Teresa de Jesús,tarragona,tortosa
	RELIGIOSAS DE MARIA INMACULADA MISIONERAS CLARETIANAS	,barcelona,barcelona,Religiosas de María Inmaculada - Colegio,barcelona,barcelona
	RESIDENCIA DE ESTUDIANTES	,barcelona,barcelona,Cofradía de los Estudiantes,málaga,antequera
	RESIDENCIA DE RELIGIOSAS DEL SAGRADO CORAZON	,barcelona,sant adria del besos,RSCJ - Religiosas del Sagrado Corazón,madrid,madrid
	RESIDENCIA DE SAN JUAN DE LA CRUZ	,barcelona,barcelona,Casa de San Juan de la Cruz,murcia,caravaca
	RESIDENCIA SAGRADO CORAZON	,barcelona,barcelona,Jesuitas - Residencia Sagrado Corazón,madrid,madrid
	SAN IGNACIO DE LOYOLA	,barcelona,manresa,Parroquia San Ignacio de Loyola,madrid,madrid
ASOCIACION ADORADORES DE LA DIVINA MISERICORDIA,barcelona,barcelona,Apostolado de la Divina Misericordia,valencia,valencia
ASOCIACION CERCLE CATOLIC DE GRACIA,barcelona,barcelona,Circulo Católico de Gracia,barcelona,barcelona
ASOCIACION JUSTICIA I PAU,barcelona,barcelona,Justicia i Pau,barcelona,barcelona
ASOCIACION LLUISOS DE GRACIA,barcelona,barcelona,Lluisos de Gracia,barcelona,barcelona
ASSOCIACIO CENTRE D`ACOLLIDA ASSIS,barcelona,barcelona,Centre d'Acollida Assis,barcelona,barcelona
CARITAS DIOCESANA DE BARCELONA,barcelona,barcelona,Comunidad Judía de Barcelona,barcelona,barcelona
