comunidad_autonoma_codigo,codigo_ine,codigo_ine_completo,nombre_oficial,nombre_alternativo,nombre_cooficial,provincia_codigo,activo
01,04098,0409805,Vélez-Blanco,Vélez,Blanco,04,True
01,04099,0409908,Vélez-Rubio,Vélez,Rubio,04,True
01,04100,0410002,Vera,Vera,Vera,04,True
01,04101,0410109,Viator,Viator,Viator,04,True
01,04102,0410204,Vícar,Vícar,Vícar,04,True
01,04103,0410300,Zurgena,Zurgena,Zurgena,04,True
07,05001,0500103,Adanero,Adanero,Adanero,05,True
07,05002,0500208,"Adrada, La","Adrada, La","Adrada, La",05,True
07,05005,0500502,Albornos,Albornos,Albornos,05,True
07,05007,0500701,Aldeanueva de Santa Cruz,Aldeanueva de Santa Cruz,Aldeanueva de Santa Cruz,05,True
07,05008,0500807,Aldeaseca,Aldeaseca,Aldeaseca,05,True
07,05010,0501004,"Aldehuela, La","Aldehuela, La","Aldehuela, La",05,True
07,05012,0501206,Amavida,Amavida,Amavida,05,True
07,05013,0501302,"Arenal, El","Arenal, El","Arenal, El",05,True
07,05014,0501407,Arenas de San Pedro,Arenas de San Pedro,Arenas de San Pedro,05,True
07,05015,0501500,Arevalillo,Arevalillo,Arevalillo,05,True
07,05016,0501603,Arévalo,Arévalo,Arévalo,05,True
07,05017,0501709,Aveinte,Aveinte,Aveinte,05,True
07,05018,0501805,Avellaneda,Avellaneda,Avellaneda,05,True
07,05019,0501908,Ávila,Ávila,Ávila,05,True
07,05021,0502109,"Barco de Ávila, El","Barco de Ávila, El","Barco de Ávila, El",05,True
07,05022,0502204,"Barraco, El","Barraco, El","Barraco, El",05,True
07,05023,0502300,Barromán,Barromán,Barromán,05,True
07,05024,0502405,Becedas,Becedas,Becedas,05,True
07,05025,0502508,Becedillas,Becedillas,Becedillas,05,True
